date,Gold Price,CPI,FedFunds,crude oil,exchange_rate_index,SP500
01/03/2005,433.85,0.78206465067777200,2.63,54.19,108.79,1180.59
01/04/2005,429.23,0.67252974650801400,2.79,52.98,110.29,1156.85
01/05/2005,421.87,-0.10277492291879500,3.00,49.83,110.58,1191.5
01/06/2005,430.66,0.05144032921810040,3.04,56.35,111.89,1191.33
01/07/2005,424.48,0.46272493573265600,3.26,59.00,112.62,1234.18
01/08/2005,437.93,0.51177072671443400,3.50,64.99,111.46,1220.33
01/09/2005,456.05,1.22199592668025000,3.62,65.59,112.13,1228.81
01/10/2005,469.9,0.20120724346075200,3.78,62.26,113.43,1207.01
01/11/2005,476.67,-0.80321285140562600,4.00,58.32,113.38,1249.48
01/12/2005,510.1,-0.40485829959513000,4.16,59.41,111.98,1248.29
01/01/2006,549.86,0.76219512195121600,4.29,65.49,110.94,1280.08
01/02/2006,555,0.20171457387795000,4.49,61.63,111.11,1280.66
01/03/2006,557.09,0.55359838953198000,4.59,62.69,111.80,1294.87
01/04/2006,610.65,0.85085085085083400,4.79,69.44,111.47,1310.61
01/05/2006,675.39,0.49627791563274300,4.94,70.84,109.49,1270.09
01/06/2006,596.15,0.19753086419753200,4.99,70.95,111.22,1270.2
01/07/2006,633.71,0.29571217348448900,5.24,74.41,111.18,1276.66
01/08/2006,632.59,0.19656019656019700,5.25,73.04,110.37,1303.82
01/09/2006,598.19,-0.49043648847475700,5.25,63.80,109.91,1335.85
01/10/2006,585.78,-0.54213898472152100,5.25,58.89,109.68,1377.94
01/11/2006,627.83,-0.14866204162537900,5.25,59.08,108.35,1400.63
01/12/2006,629.79,0.14888337468983300,5.24,61.96,107.08,1418.3
01/01/2007,631.17,0.30525272547076300,5.25,54.51,108.51,1438.24
01/02/2007,664.75,0.53503675598766200,5.26,59.28,108.24,1406.82
01/03/2007,654.9,0.91056958510854300,5.26,60.44,108.35,1420.86
01/04/2007,679.37,0.64961626865088900,5.25,63.98,107.24,1482.37
01/05/2007,667.31,0.61107186747047000,5.25,63.46,106.79,1530.62
01/06/2007,655.66,0.19379751766056500,5.25,67.49,106.66,1503.35
01/07/2007,665.38,-0.02543772078020540,5.26,74.12,105.02,1455.27
01/08/2007,665.41,-0.18339022270871100,5.02,72.36,104.98,1473.99
01/09/2007,712.65,0.27559074053589300,4.94,79.92,103.47,1526.75
01/10/2007,754.6,0.21391913281211700,4.76,85.80,101.22,1549.38
01/11/2007,806.25,0.59396178734158100,4.49,94.77,99.71,1481.14
01/12/2007,803.2,-0.06708631296478140,4.24,91.69,100.17,1468.36
01/01/2008,889.6,0.49705764726046900,3.94,92.97,99.55,1378.55
01/02/2008,922.3,0.29041121849534800,2.98,95.39,98.19,1330.63
01/03/2008,968.43,0.86682129309896700,2.61,105.45,96.69,1322.7
01/04/2008,909.71,0.60647783897195600,2.28,112.58,96.41,1385.59
01/05/2008,888.66,0.84208860317563100,1.98,125.40,97.15,1400.38
01/06/2008,889.49,1.00769969348940000,2.00,133.88,97.78,1280
01/07/2008,939.77,0.52510111281221300,2.01,133.37,97.20,1267.38
01/08/2008,839.03,-0.39915622556417400,2.00,116.67,99.15,1282.83
01/09/2008,829.93,-0.13830185406645500,1.81,104.11,101.24,1166.36
01/10/2008,806.62,-1.01013332845789000,0.97,76.61,106.95,968.75
01/11/2008,760.86,-1.91528953285958000,0.39,57.31,108.05,896.24
01/12/2008,816.09,-1.03424738142875000,0.16,41.12,106.25,903.25
01/01/2009,858.69,0.43524173754210100,0.15,41.71,107.34,825.88
01/02/2009,943,0.49729330359047500,0.22,39.09,110.25,735.09
01/03/2009,924.27,0.24317484554154000,0.18,47.94,110.89,797.87
01/04/2009,890.2,0.24963682777879900,0.15,49.65,108.29,872.81
01/05/2009,928.65,0.28887638341774500,0.18,59.03,105.24,919.14
01/06/2009,945.67,0.85898922639533600,0.21,69.64,104.83,919.32
01/07/2009,934.23,-0.15855869221532300,0.16,64.15,104.38,987.48
01/08/2009,949.38,0.22428500448104900,0.16,71.05,102.93,1020.62
01/09/2009,996.59,0.06254806934958170,0.15,69.41,102.02,1057.08
01/10/2009,1043.16,0.09631011858185780,0.12,75.72,100.56,1036.19
01/11/2009,1127.04,0.07077533687670790,0.12,77.99,99.87,1095.63
01/12/2009,1134.72,-0.17611981694631300,0.12,74.47,99.80,1115.1
01/01/2010,1117.96,0.34174735701485000,0.11,78.33,100.11,1073.87
01/02/2010,1095.41,0.02492073820764800,0.13,76.39,101.03,1104.49
01/03/2010,1113.34,0.41062835365710800,0.16,81.20,100.47,1169.43
01/04/2010,1148.69,0.17368849106974300,0.20,84.29,99.91,1186.69
01/05/2010,1205.43,0.07751973542377210,0.20,73.74,102.91,1089.41
01/06/2010,1232.92,-0.09762670846738880,0.18,75.34,103.64,1030.71
01/07/2010,1192.97,0.02110430573715090,0.18,76.32,101.85,1101.6
01/08/2010,1215.81,0.13806642784080700,0.19,76.60,100.80,1049.33
01/09/2010,1270.98,0.05817362307155690,0.19,75.24,99.60,1141.2
01/10/2010,1342.02,0.12451988884769600,0.19,81.89,96.41,1183.26
01/11/2010,1369.89,0.04206464238195070,0.19,84.25,96.35,1180.55
01/12/2010,1390.55,0.17184407892030900,0.18,89.15,96.93,1257.64
01/01/2011,1360.46,0.47632300539741400,0.17,89.17,95.98,1286.12
01/02/2011,1374.68,0.49313650254516200,0.16,88.58,95.20,1327.22
01/03/2011,1423.26,0.97510720305093800,0.14,102.86,94.77,1325.83
01/04/2011,1480.89,0.64394295354569900,0.10,109.53,93.53,1363.61
01/05/2011,1512.58,0.47041875272336400,0.09,100.90,93.72,1345.2
01/06/2011,1529.36,-0.10709670566992200,0.09,96.26,93.69,1320.64
01/07/2011,1572.75,0.08860456667935540,0.07,97.30,93.06,1292.28
01/08/2011,1759.01,0.27575889023645000,0.10,86.33,93.56,1218.89
01/09/2011,1772.14,0.15184621156946100,0.08,85.52,96.07,1131.42
01/10/2011,1666.43,-0.20626826333583600,0.07,86.32,96.65,1253.3
01/11/2011,1739,-0.08435613304420600,0.08,97.16,97.04,1246.96
01/12/2011,1639.97,-0.24665163771381700,0.07,98.56,97.40,1257.6
01/01/2012,1654.05,0.44001914282675100,0.08,100.27,97.07,1312.41
01/02/2012,1744.82,0.44029735512763100,0.10,102.20,95.50,1365.68
01/03/2012,1675.95,0.75945586239308600,0.13,106.16,96.36,1408.47
01/04/2012,1649.2,0.30210295040803400,0.14,103.32,96.75,1397.91
01/05/2012,1589.04,-0.11734793663210500,0.16,94.66,98.48,1310.33
01/06/2012,1598.76,-0.14663968844504900,0.16,82.30,99.88,1362.16
01/07/2012,1594.29,-0.16297858618256100,0.16,87.90,99.22,1379.32
01/08/2012,1630.31,0.55651581814370900,0.13,94.13,98.53,1406.58
01/09/2012,1744.81,0.44622122676113100,0.14,94.51,97.04,1440.67
01/10/2012,1746.58,-0.03889251405532320,0.16,89.49,96.47,1412.16
01/11/2012,1721.64,-0.47380866948818800,0.16,86.53,96.66,1416.18
01/12/2012,1684.76,-0.26930644902073500,0.16,87.86,95.50,1426.19
01/01/2013,1671.85,0.29573041929260400,0.14,94.76,95.73,1498.11
01/02/2013,1627.57,0.81900295292687600,0.15,95.31,96.54,1514.68
01/03/2013,1593.09,0.26145085843749500,0.14,92.94,97.59,1569.19
01/04/2013,1487.86,-0.10396394770871600,0.15,92.02,97.02,1597.57
01/05/2013,1414.03,0.17804077735872300,0.11,94.51,97.72,1630.74
01/06/2013,1343.35,0.23997080855995000,0.09,95.77,98.54,1606.28
01/07/2013,1285.52,0.03939975332330110,0.09,104.67,99.08,1685.73
01/08/2013,1351.74,0.12029315570472000,0.08,106.57,98.77,1632.97
01/09/2013,1348.6,0.11630044852634700,0.08,106.29,98.30,1681.55
01/10/2013,1316.58,-0.25752832598046400,0.09,100.54,96.92,1756.54
01/11/2013,1275.86,-0.20424241905233800,0.08,93.86,97.40,1805.81
01/12/2013,1221.51,-0.00858114978825904,0.09,97.63,97.35,1848.36
01/01/2014,1244.27,0.37202476732360500,0.07,94.62,98.42,1782.59
01/02/2014,1299.58,0.36979086509687300,0.07,100.82,98.51,1859.45
01/03/2014,1336.08,0.64400441262282400,0.08,100.80,98.86,1872.34
01/04/2014,1298.45,0.32967544531577300,0.09,102.07,98.67,1883.95
01/05/2014,1288.74,0.34926098400487000,0.09,102.18,98.58,1923.57
01/06/2014,1279.1,0.18621269440941100,0.10,105.79,98.92,1960.23
01/07/2014,1310.59,-0.03901939641610930,0.09,103.59,98.64,1930.67
01/08/2014,1295.13,-0.16705141657921900,0.09,96.54,99.20,2003.37
01/09/2014,1236.55,0.07525688243110140,0.09,93.21,100.39,1972.29
01/10/2014,1222.49,-0.25122778125538900,0.09,84.40,101.31,2018.05
01/11/2014,1175.33,-0.53994179410611900,0.09,75.79,102.43,2067.56
01/12/2014,1200.62,-0.56701009100108900,0.12,59.29,104.11,2058.9
01/01/2015,1250.75,-0.47058923734732400,0.11,47.22,106.11,1994.99
01/02/2015,1227.08,0.43430449237720600,0.11,50.58,107.41,2104.5
01/03/2015,1178.63,0.59517216110973200,0.11,47.82,109.64,2067.89
01/04/2015,1198.93,0.20328732545876900,0.12,54.45,109.04,2085.51
01/05/2015,1198.63,0.50972320254946900,0.12,59.27,108.56,2107.39
01/06/2015,1181.5,0.35028699985281200,0.13,59.82,109.60,2063.11
01/07/2015,1128.31,0.00670471592956610,0.13,50.90,111.35,2103.84
01/08/2015,1117.93,-0.14162762828193500,0.14,42.87,112.91,1972.18
01/09/2015,1124.77,-0.15567565753035900,0.14,45.48,113.34,1920.03
01/10/2015,1159.25,-0.04496837504464470,0.12,46.22,112.25,2079.36
01/11/2015,1086.44,-0.21106803790814600,0.12,42.44,113.81,2080.41
01/12/2015,1075.74,-0.34170964371186600,0.24,37.19,114.37,2043.94
01/01/2016,1097.91,0.16531022090686800,0.34,31.68,117.12,1940.24
01/02/2016,1199.5,0.08230765334549850,0.38,30.32,115.48,1932.23
01/03/2016,1245.14,0.43060001433926800,0.36,37.55,113.55,2059.74
01/04/2016,1242.26,0.47410679791040000,0.37,40.75,112.09,2065.3
01/05/2016,1260.95,0.40457909981151700,0.37,46.71,113.66,2096.95
01/06/2016,1276.4,0.32843661672818800,0.38,48.76,114.39,2098.86
01/07/2016,1336.66,-0.16181364047498100,0.39,44.65,114.89,2173.6
01/08/2016,1340.17,0.09184301078844980,0.40,44.72,113.86,2170.95
01/09/2016,1326.61,0.24039958646289800,0.40,45.18,114.60,2168.27
01/10/2016,1266.55,0.12467485130143200,0.40,49.78,115.52,2126.15
01/11/2016,1238.35,-0.15554608673351400,0.41,45.66,118.21,2198.81
01/12/2016,1157.36,0.03273213923175170,0.54,51.97,120.00,2238.83
01/01/2017,1192.1,0.58277278902545900,0.65,52.50,120.19,2278.87
01/02/2017,1234.2,0.31461173864166600,0.66,53.47,118.41,2363.64
01/03/2017,1231.42,0.08127978719472320,0.79,49.33,117.80,2362.72
01/04/2017,1266.88,0.29655333653268800,0.90,51.06,116.95,2384.2
01/05/2017,1246.04,0.08547218268963630,0.91,48.48,116.50,2411.8
01/06/2017,1260.26,0.09071110148611390,1.04,45.18,114.98,2423.41
01/07/2017,1236.84,-0.06899226388522950,1.15,46.63,113.34,2470.3
01/08/2017,1283.04,0.29944522971085700,1.16,48.04,111.94,2471.65
01/09/2017,1314.07,0.52949058932303400,1.15,49.82,111.09,2519.36
01/10/2017,1279.51,-0.06320421037276460,1.15,51.58,112.81,2575.26
01/11/2017,1281.9,0.00243246859074368,1.16,56.64,112.80,2647.58
01/12/2017,1264.45,-0.05878322772623000,1.30,57.88,112.05,2673.61
01/01/2018,1331.3,0.54477454527754100,1.41,63.70,110.04,2823.81
01/02/2018,1330.73,0.45346899748655000,1.42,62.23,108.84,2713.83
01/03/2018,1324.66,0.22611259041490400,1.51,62.73,109.44,2640.87
01/04/2018,1334.76,0.39750915633489300,1.69,66.25,109.73,2648.05
01/05/2018,1303.45,0.41589169254350000,1.70,69.98,113.11,2705.27
01/06/2018,1281.57,0.15938757015437200,1.82,67.87,115.02,2718.37
01/07/2018,1237.71,0.00674632622851716,1.91,70.98,115.36,2816.29
01/08/2018,1201.71,0.05555423283572950,1.91,68.06,115.91,2901.52
01/09/2018,1198.39,0.11620251758902500,1.95,70.23,115.91,2913.98
01/10/2018,1215.39,0.17667634557258700,2.19,70.75,116.54,2711.74
01/11/2018,1220.65,-0.33493485181009700,2.20,56.96,117.58,2760.17
01/12/2018,1250.4,-0.31939628151310900,2.27,49.52,117.03,2506.85
01/01/2019,1291.75,0.19065966652468400,2.40,51.38,115.64,2704.1
01/02/2019,1320.07,0.42270531400969200,2.40,54.95,115.28,2784.49
01/03/2019,1300.9,0.56413583568057700,2.41,58.15,115.98,2834.4
01/04/2019,1285.91,0.52950016128907400,2.42,63.86,116.38,2945.83
01/05/2019,1283.7,0.21287585893841100,2.39,60.83,117.69,2752.06
01/06/2019,1359.04,0.01991471814816040,2.38,54.66,117.26,2941.76
01/07/2019,1412.89,0.16709416224533800,2.40,57.35,116.81,2980.38
01/08/2019,1500.41,-0.00506682360828189,2.13,54.81,118.72,2926.46
01/09/2019,1510.58,0.07834485769300010,2.04,56.95,118.86,2976.74
01/10/2019,1494.81,0.22861905522300000,1.83,53.96,118.05,3037.56
01/11/2019,1470.79,-0.05362430346694650,1.55,57.03,117.41,3140.98
01/12/2019,1479.13,-0.09097695250537930,1.55,59.88,116.51,3230.78
01/01/2020,1560.67,0.38797699378148700,1.55,57.52,115.94,3225.52
01/02/2020,1597.1,0.27406181314954300,1.58,50.54,117.25,2954.22
01/03/2020,1591.93,-0.21764510317847900,0.65,29.21,121.61,2584.59
01/04/2020,1683.17,-0.66869418669971800,0.05,16.55,123.92,2912.43
01/05/2020,1715.91,0.00195016166840463,0.05,28.56,123.35,3044.31
01/06/2020,1732.22,0.54720469277751100,0.08,38.31,120.84,3100.29
01/07/2020,1846.51,0.50582435016700900,0.09,40.71,120.21,3271.12
01/08/2020,1968.63,0.31532105240812700,0.10,42.34,118.67,3500.31
01/09/2020,1921.92,0.13927469432666000,0.09,39.63,117.83,3363
01/10/2020,1900.27,0.04149377593361480,0.09,39.40,117.03,3269.96
01/11/2020,1866.3,-0.06106272178441380,0.09,40.94,115.21,3621.63
01/12/2020,1858.42,0.09414784670425970,0.09,47.02,112.90,3756.07
01/01/2021,1866.98,0.42537834870272600,0.09,52.00,112.37,3714.24
01/02/2021,1808.17,0.54743827939234400,0.08,59.04,112.80,3811.15
01/03/2021,1718.23,0.70832731337495100,0.07,62.33,114.88,3972.89
,,,,,,
,,,,,,
